logged_at_ts,price,direction,entry,stop,target,rr,reason
1783662936728,1777.21,,,,,,"Risk:reward is 0.72, below the 1.5 threshold — sitting out this hour."
1783671107371,1775.21,,,,,,"Risk:reward is 0.83, below the 1.5 threshold — sitting out this hour."
1783685560970,1801.4,,,,,,"Risk:reward is 0.72, below the 1.5 threshold — sitting out this hour."
1783701518663,1785.49,,,,,,"Risk:reward is 1.40, below the 1.5 threshold — sitting out this hour."
1783717021393,1790.07,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783728855358,1792.28,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783733041378,1796.6,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783733278177,1795.49,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783738862121,1795.14,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783742462371,1795.4,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783746058979,1794.59,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783749663909,1796.57,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783753254864,1797.93,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783756860701,1799.63,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783758634408,1800.49,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783760456899,1800.66,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783764065379,1795.18,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783767657093,1797.09,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1783771260337,1799.66,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
